code,name,official_class_code,official_class_name,primary_cluster,primary_cluster_name,cross_tags,official_note
080610TK,大功率半导体科学与工程,0806,电气类,energy_power_electrical,能源动力、电气与电力系统类,能源;电气;电力;新能源;电子信息;半导体;信号处理,
080701,电子信息工程,0807,电子信息类,electronics_communication_ic,电子信息、通信与集成电路类,硬件;信号处理;嵌入式;半导体;电子信息,可授工学或理学学士学位
080702,电子科学与技术,0807,电子信息类,electronics_communication_ic,电子信息、通信与集成电路类,硬件;信号处理;嵌入式;半导体;电子信息,可授工学或理学学士学位
080703,通信工程,0807,电子信息类,electronics_communication_ic,电子信息、通信与集成电路类,硬件;信号处理;嵌入式;半导体;电子信息,
080704,微电子科学与工程,0807,电子信息类,electronics_communication_ic,电子信息、通信与集成电路类,硬件;信号处理;嵌入式;半导体;电子信息,可授工学或理学学士学位
080705,光电信息科学与工程,0807,电子信息类,electronics_communication_ic,电子信息、通信与集成电路类,硬件;信号处理;嵌入式;半导体;电子信息,可授工学或理学学士学位
080706,信息工程,0807,电子信息类,electronics_communication_ic,电子信息、通信与集成电路类,硬件;信号处理;嵌入式;半导体,
080707T,广播电视工程,0807,电子信息类,electronics_communication_ic,电子信息、通信与集成电路类,硬件;信号处理;嵌入式;半导体,
080708T,水声工程,0807,电子信息类,electronics_communication_ic,电子信息、通信与集成电路类,硬件;信号处理;嵌入式;半导体;电子信息,
080709T,电子封装技术,0807,电子信息类,electronics_communication_ic,电子信息、通信与集成电路类,硬件;信号处理;嵌入式;半导体;电子信息,
080710T,集成电路设计与集成系统,0807,电子信息类,electronics_communication_ic,电子信息、通信与集成电路类,硬件;信号处理;嵌入式;半导体;电子信息,
080711T,医学信息工程,0807,电子信息类,electronics_communication_ic,电子信息、通信与集成电路类,硬件;信号处理;嵌入式;半导体,
080712T,电磁场与无线技术,0807,电子信息类,electronics_communication_ic,电子信息、通信与集成电路类,硬件;信号处理;嵌入式;半导体;电子信息,
080713T,电波传播与天线,0807,电子信息类,electronics_communication_ic,电子信息、通信与集成电路类,硬件;信号处理;嵌入式;半导体;电子信息,
080714T,电子信息科学与技术,0807,电子信息类,electronics_communication_ic,电子信息、通信与集成电路类,硬件;信号处理;嵌入式;半导体;电子信息,可授工学或理学学士学位
080715T,电信工程及管理,0807,电子信息类,electronics_communication_ic,电子信息、通信与集成电路类,硬件;信号处理;嵌入式;半导体,
080716T,应用电子技术教育,0807,电子信息类,electronics_communication_ic,电子信息、通信与集成电路类,硬件;信号处理;嵌入式;半导体;电子信息,
080717T,人工智能,0807,电子信息类,computer_ai_software,计算机与 AI 软件类,软件工程;数据与 AI;互联网产品;电子信息;自动化控制;数学建模,
080718T,海洋信息工程,0807,电子信息类,electronics_communication_ic,电子信息、通信与集成电路类,硬件;信号处理;嵌入式;半导体;高端装备;系统工程,
080719T,柔性电子学,0807,电子信息类,electronics_communication_ic,电子信息、通信与集成电路类,硬件;信号处理;嵌入式;半导体;电子信息,
080720T,智能测控工程,0807,电子信息类,electronics_communication_ic,电子信息、通信与集成电路类,硬件;信号处理;嵌入式;半导体;自动化控制;机器人/智能装备,
080721T,智能视觉工程,0807,电子信息类,electronics_communication_ic,电子信息、通信与集成电路类,硬件;信号处理;嵌入式;半导体,
080722T,智能视听工程,0807,电子信息类,electronics_communication_ic,电子信息、通信与集成电路类,硬件;信号处理;嵌入式;半导体,
080723TK,半导体工艺与装备,0807,电子信息类,electronics_communication_ic,电子信息、通信与集成电路类,硬件;信号处理;嵌入式;半导体;电子信息;机械设计;智能制造,
080801,自动化,0808,自动化类,automation_control_robotics,自动化、控制与机器人工程类,控制;机器人;嵌入式;智能制造;自动化控制;机器人/智能装备,
080802T,轨道交通信号与控制,0808,自动化类,automation_control_robotics,自动化、控制与机器人工程类,控制;机器人;嵌入式;智能制造;电子信息;半导体;信号处理;自动化控制,
080803T,机器人工程,0808,自动化类,automation_control_robotics,自动化、控制与机器人工程类,控制;机器人;嵌入式;智能制造;自动化控制;机器人/智能装备,
080804T,邮政工程,0808,自动化类,automation_control_robotics,自动化、控制与机器人工程类,控制;机器人;嵌入式;智能制造,
080805T,核电技术与控制工程,0808,自动化类,automation_control_robotics,自动化、控制与机器人工程类,控制;机器人;嵌入式;智能制造;自动化控制;机器人/智能装备;能源电力;新能源,
080806T,智能装备与系统,0808,自动化类,automation_control_robotics,自动化、控制与机器人工程类,控制;机器人;嵌入式;智能制造;自动化控制;机器人/智能装备;机械设计,
080807T,工业智能,0808,自动化类,automation_control_robotics,自动化、控制与机器人工程类,控制;机器人;嵌入式;智能制造,
080808T,智能工程与创意设计,0808,自动化类,automation_control_robotics,自动化、控制与机器人工程类,控制;机器人;嵌入式;智能制造,
080901,计算机科学与技术,0809,计算机类,computer_ai_software,计算机与 AI 软件类,软件工程;数据与 AI;互联网产品,可授工学或理学学士学位
080902,软件工程,0809,计算机类,computer_ai_software,计算机与 AI 软件类,软件工程;数据与 AI;互联网产品,
080903,网络工程,0809,计算机类,computer_ai_software,计算机与 AI 软件类,软件工程;数据与 AI;互联网产品,
080904K,信息安全,0809,计算机类,computer_ai_software,计算机与 AI 软件类,软件工程;数据与 AI;互联网产品;安全合规;公共安全,可授工学或理学或管理学学士学位
080905,物联网工程,0809,计算机类,computer_ai_software,计算机与 AI 软件类,软件工程;数据与 AI;互联网产品,
080906,数字媒体技术,0809,计算机类,computer_ai_software,计算机与 AI 软件类,软件工程;数据与 AI;互联网产品,
080907T,智能科学与技术,0809,计算机类,computer_ai_software,计算机与 AI 软件类,软件工程;数据与 AI;互联网产品,可授工学或理学学士学位
080908T,空间信息与数字技术,0809,计算机类,computer_ai_software,计算机与 AI 软件类,软件工程;数据与 AI;互联网产品,
080909T,电子与计算机工程,0809,计算机类,computer_ai_software,计算机与 AI 软件类,软件工程;数据与 AI;互联网产品;电子信息;半导体;信号处理,
080910T,数据科学与大数据技术,0809,计算机类,computer_ai_software,计算机与 AI 软件类,软件工程;数据与 AI;互联网产品,可授工学或理学学士学位
080911TK,网络空间安全,0809,计算机类,computer_ai_software,计算机与 AI 软件类,软件工程;数据与 AI;互联网产品;安全合规;公共安全,
080912T,新媒体技术,0809,计算机类,computer_ai_software,计算机与 AI 软件类,软件工程;数据与 AI;互联网产品,
080913T,电影制作,0809,计算机类,computer_ai_software,计算机与 AI 软件类,软件工程;数据与 AI;互联网产品,
080914TK,保密技术,0809,计算机类,computer_ai_software,计算机与 AI 软件类,软件工程;数据与 AI;互联网产品,
080915T,服务科学与工程,0809,计算机类,computer_ai_software,计算机与 AI 软件类,软件工程;数据与 AI;互联网产品,
080916T,虚拟现实技术,0809,计算机类,computer_ai_software,计算机与 AI 软件类,软件工程;数据与 AI;互联网产品,
080917T,区块链工程,0809,计算机类,computer_ai_software,计算机与 AI 软件类,软件工程;数据与 AI;互联网产品,
080918TK,密码科学与技术,0809,计算机类,computer_ai_software,计算机与 AI 软件类,软件工程;数据与 AI;互联网产品,
080919T,工业软件,0809,计算机类,computer_ai_software,计算机与 AI 软件类,软件工程;数据与 AI;互联网产品,
081001,土木工程,0810,土木类,civil_architecture_spatial_infrastructure,土木、建筑、水利与空间基础设施类,基础设施;空间信息;工程管理;BIM,
081002,建筑环境与能源应用工程,0810,土木类,civil_architecture_spatial_infrastructure,土木、建筑、水利与空间基础设施类,基础设施;空间信息;工程管理;BIM;能源电力;新能源;安全合规;公共安全,
081003,给排水科学与工程,0810,土木类,civil_architecture_spatial_infrastructure,土木、建筑、水利与空间基础设施类,基础设施;空间信息;工程管理;BIM,
081004,建筑电气与智能化,0810,土木类,civil_architecture_spatial_infrastructure,土木、建筑、水利与空间基础设施类,基础设施;空间信息;工程管理;BIM;能源电力;新能源,
081005T,城市地下空间工程,0810,土木类,civil_architecture_spatial_infrastructure,土木、建筑、水利与空间基础设施类,基础设施;空间信息;工程管理;BIM,
081006T,道路桥梁与渡河工程,0810,土木类,civil_architecture_spatial_infrastructure,土木、建筑、水利与空间基础设施类,基础设施;空间信息;工程管理;BIM,
081007T,铁道工程,0810,土木类,civil_architecture_spatial_infrastructure,土木、建筑、水利与空间基础设施类,基础设施;空间信息;工程管理;BIM,
081008T,智能建造,0810,土木类,civil_architecture_spatial_infrastructure,土木、建筑、水利与空间基础设施类,基础设施;空间信息;工程管理;BIM,
081009T,土木、水利与海洋工程,0810,土木类,civil_architecture_spatial_infrastructure,土木、建筑、水利与空间基础设施类,基础设施;空间信息;工程管理;BIM;高端装备;系统工程,
081010T,土木、水利与交通工程,0810,土木类,civil_architecture_spatial_infrastructure,土木、建筑、水利与空间基础设施类,基础设施;空间信息;工程管理;BIM,
081011T,城市水系统工程,0810,土木类,civil_architecture_spatial_infrastructure,土木、建筑、水利与空间基础设施类,基础设施;空间信息;工程管理;BIM,
081012T,智能建造与智慧交通,0810,土木类,civil_architecture_spatial_infrastructure,土木、建筑、水利与空间基础设施类,基础设施;空间信息;工程管理;BIM,
081013T,工程软件,0810,土木类,civil_architecture_spatial_infrastructure,土木、建筑、水利与空间基础设施类,基础设施;空间信息;工程管理;BIM;软件工程;数据与 AI,
081014T,城市更新,0810,土木类,civil_architecture_spatial_infrastructure,土木、建筑、水利与空间基础设施类,基础设施;空间信息;工程管理;BIM,
081101,水利水电工程,0811,水利类,civil_architecture_spatial_infrastructure,土木、建筑、水利与空间基础设施类,基础设施;空间信息;工程管理;BIM,
081102,水文与水资源工程,0811,水利类,civil_architecture_spatial_infrastructure,土木、建筑、水利与空间基础设施类,基础设施;空间信息;工程管理;BIM,
081103,港口航道与海岸工程,0811,水利类,civil_architecture_spatial_infrastructure,土木、建筑、水利与空间基础设施类,基础设施;空间信息;工程管理;BIM,
081104T,水务工程,0811,水利类,civil_architecture_spatial_infrastructure,土木、建筑、水利与空间基础设施类,基础设施;空间信息;工程管理;BIM,
081105T,水利科学与工程,0811,水利类,civil_architecture_spatial_infrastructure,土木、建筑、水利与空间基础设施类,基础设施;空间信息;工程管理;BIM,
081106T,智慧水利,0811,水利类,civil_architecture_spatial_infrastructure,土木、建筑、水利与空间基础设施类,基础设施;空间信息;工程管理;BIM,
081201,测绘工程,0812,测绘类,civil_architecture_spatial_infrastructure,土木、建筑、水利与空间基础设施类,基础设施;空间信息;工程管理;BIM,
081202,遥感科学与技术,0812,测绘类,civil_architecture_spatial_infrastructure,土木、建筑、水利与空间基础设施类,基础设施;空间信息;工程管理;BIM,
081203T,导航工程,0812,测绘类,civil_architecture_spatial_infrastructure,土木、建筑、水利与空间基础设施类,基础设施;空间信息;工程管理;BIM,
081204T,地理国情监测,0812,测绘类,civil_architecture_spatial_infrastructure,土木、建筑、水利与空间基础设施类,基础设施;空间信息;工程管理;BIM,
081205T,地理空间信息工程,0812,测绘类,civil_architecture_spatial_infrastructure,土木、建筑、水利与空间基础设施类,基础设施;空间信息;工程管理;BIM,
081206TK,时空信息工程,0812,测绘类,civil_architecture_spatial_infrastructure,土木、建筑、水利与空间基础设施类,基础设施;空间信息;工程管理;BIM,
081301,化学工程与工艺,0813,化工与制药类,chemical_pharma_process,化工、制药与过程工程类,化工;制药;工艺;安全,
081302,制药工程,0813,化工与制药类,chemical_pharma_process,化工、制药与过程工程类,化工;制药;工艺;安全;过程工程;质量安全,
081303T,资源循环科学与工程,0813,化工与制药类,chemical_pharma_process,化工、制药与过程工程类,化工;制药;工艺;安全,
081304T,能源化学工程,0813,化工与制药类,chemical_pharma_process,化工、制药与过程工程类,化工;制药;工艺;安全;能源电力;新能源,
081305T,化学工程与工业生物工程,0813,化工与制药类,chemical_pharma_process,化工、制药与过程工程类,化工;制药;工艺;安全;过程工程;质量安全,
081306T,化工安全工程,0813,化工与制药类,chemical_pharma_process,化工、制药与过程工程类,化工;制药;工艺;安全;过程工程;质量安全;安全合规;公共安全,
081307T,涂料工程,0813,化工与制药类,chemical_pharma_process,化工、制药与过程工程类,化工;制药;工艺;安全,
081308T,精细化工,0813,化工与制药类,chemical_pharma_process,化工、制药与过程工程类,化工;制药;工艺;安全;过程工程;质量安全,
081309T,智能分子工程,0813,化工与制药类,chemical_pharma_process,化工、制药与过程工程类,化工;制药;工艺;安全,
081401,地质工程,0814,地质类,resources_environment_safety,资源、地质、矿业、环境与安全类,资源;环境;安全;现场工程,
081402,勘查技术与工程,0814,地质类,resources_environment_safety,资源、地质、矿业、环境与安全类,资源;环境;安全;现场工程,
081403K,资源勘查工程,0814,地质类,resources_environment_safety,资源、地质、矿业、环境与安全类,资源;环境;安全;现场工程,
081404T,地下水科学与工程,0814,地质类,resources_environment_safety,资源、地质、矿业、环境与安全类,资源;环境;安全;现场工程,
081405T,旅游地学与规划工程,0814,地质类,resources_environment_safety,资源、地质、矿业、环境与安全类,资源;环境;安全;现场工程,
081406T,智能地球探测,0814,地质类,resources_environment_safety,资源、地质、矿业、环境与安全类,资源;环境;安全;现场工程,
081407T,资源环境大数据工程,0814,地质类,resources_environment_safety,资源、地质、矿业、环境与安全类,资源;环境;安全;现场工程;软件工程;数据与 AI;安全合规;公共安全,
081501,采矿工程,0815,矿业类,resources_environment_safety,资源、地质、矿业、环境与安全类,资源;环境;安全;现场工程,
081502,石油工程,0815,矿业类,resources_environment_safety,资源、地质、矿业、环境与安全类,资源;环境;安全;现场工程,
081503,矿物加工工程,0815,矿业类,resources_environment_safety,资源、地质、矿业、环境与安全类,资源;环境;安全;现场工程,
081504,油气储运工程,0815,矿业类,resources_environment_safety,资源、地质、矿业、环境与安全类,资源;环境;安全;现场工程,
081505T,矿物资源工程,0815,矿业类,resources_environment_safety,资源、地质、矿业、环境与安全类,资源;环境;安全;现场工程,
081506T,海洋油气工程,0815,矿业类,resources_environment_safety,资源、地质、矿业、环境与安全类,资源;环境;安全;现场工程;高端装备;系统工程,
081507T,智能采矿工程,0815,矿业类,resources_environment_safety,资源、地质、矿业、环境与安全类,资源;环境;安全;现场工程,
081508TK,碳储科学与工程,0815,矿业类,resources_environment_safety,资源、地质、矿业、环境与安全类,资源;环境;安全;现场工程,
081509TK,稀土科学与工程,0815,矿业类,resources_environment_safety,资源、地质、矿业、环境与安全类,资源;环境;安全;现场工程;材料科学;工艺研发,
081601,纺织工程,0816,纺织类,textile_light_food_consumer_manufacturing,纺织、轻工、食品与消费品制造类,消费品制造;质量安全;工艺;供应链,
081602,服装设计与工程,0816,纺织类,textile_light_food_consumer_manufacturing,纺织、轻工、食品与消费品制造类,消费品制造;质量安全;工艺;供应链,可授工学或艺术学学士学位
081603T,非织造材料与工程,0816,纺织类,textile_light_food_consumer_manufacturing,纺织、轻工、食品与消费品制造类,消费品制造;质量安全;工艺;供应链;材料科学;工艺研发,
081604T,服装设计与工艺教育,0816,纺织类,textile_light_food_consumer_manufacturing,纺织、轻工、食品与消费品制造类,消费品制造;质量安全;工艺;供应链,
081605T,丝绸设计与工程,0816,纺织类,textile_light_food_consumer_manufacturing,纺织、轻工、食品与消费品制造类,消费品制造;质量安全;工艺;供应链,
081606T,纤维科学与智能制造,0816,纺织类,textile_light_food_consumer_manufacturing,纺织、轻工、食品与消费品制造类,消费品制造;质量安全;工艺;供应链;机械设计;智能制造,
081701,轻化工程,0817,轻工类,textile_light_food_consumer_manufacturing,纺织、轻工、食品与消费品制造类,消费品制造;质量安全;工艺;供应链;过程工程,
081702,包装工程,0817,轻工类,textile_light_food_consumer_manufacturing,纺织、轻工、食品与消费品制造类,消费品制造;质量安全;工艺;供应链,
081703,印刷工程,0817,轻工类,textile_light_food_consumer_manufacturing,纺织、轻工、食品与消费品制造类,消费品制造;质量安全;工艺;供应链,
081704T,香料香精技术与工程,0817,轻工类,textile_light_food_consumer_manufacturing,纺织、轻工、食品与消费品制造类,消费品制造;质量安全;工艺;供应链;过程工程,
081705T,化妆品技术与工程,0817,轻工类,textile_light_food_consumer_manufacturing,纺织、轻工、食品与消费品制造类,消费品制造;质量安全;工艺;供应链;过程工程,
081706TK,生物质能源与材料,0817,轻工类,textile_light_food_consumer_manufacturing,纺织、轻工、食品与消费品制造类,消费品制造;质量安全;工艺;供应链;材料科学;工艺研发;能源电力;新能源,
081707T,生物质技术与工程,0817,轻工类,textile_light_food_consumer_manufacturing,纺织、轻工、食品与消费品制造类,消费品制造;质量安全;工艺;供应链;过程工程,
081801,交通运输,0818,交通运输类,transportation_mobility,交通运输、轨道与航运运行类,交通;系统工程;运行管理;调度优化;基础设施;空间信息,
081802,交通工程,0818,交通运输类,transportation_mobility,交通运输、轨道与航运运行类,交通;系统工程;运行管理;调度优化;基础设施;空间信息,
081803K,航海技术,0818,交通运输类,transportation_mobility,交通运输、轨道与航运运行类,交通;系统工程;运行管理;调度优化,
081804K,轮机工程,0818,交通运输类,transportation_mobility,交通运输、轨道与航运运行类,交通;系统工程;运行管理;调度优化,
081805K,飞行技术,0818,交通运输类,transportation_mobility,交通运输、轨道与航运运行类,交通;系统工程;运行管理;调度优化,
081806T,交通设备与控制工程,0818,交通运输类,transportation_mobility,交通运输、轨道与航运运行类,交通;系统工程;运行管理;调度优化;自动化控制;机器人/智能装备;基础设施;空间信息,
081807T,救助与打捞工程,0818,交通运输类,transportation_mobility,交通运输、轨道与航运运行类,交通;系统工程;运行管理;调度优化,
081808TK,船舶电子电气工程,0818,交通运输类,transportation_mobility,交通运输、轨道与航运运行类,交通;系统工程;运行管理;调度优化;电子信息;半导体;信号处理;能源电力,
081809T,轨道交通电气与控制,0818,交通运输类,transportation_mobility,交通运输、轨道与航运运行类,交通;系统工程;运行管理;调度优化;自动化控制;机器人/智能装备;能源电力;新能源,
081810T,邮轮工程与管理,0818,交通运输类,transportation_mobility,交通运输、轨道与航运运行类,交通;系统工程;运行管理;调度优化,
081811T,智慧交通,0818,交通运输类,transportation_mobility,交通运输、轨道与航运运行类,交通;系统工程;运行管理;调度优化;基础设施;空间信息,
081812T,智能运输工程,0818,交通运输类,transportation_mobility,交通运输、轨道与航运运行类,交通;系统工程;运行管理;调度优化,
081813T,交通能源融合工程,0818,交通运输类,transportation_mobility,交通运输、轨道与航运运行类,交通;系统工程;运行管理;调度优化;能源电力;新能源;基础设施;空间信息,
081901,船舶与海洋工程,0819,海洋工程类,aerospace_marine_defense_nuclear,航空航天、海洋、兵器与核工程类,高端装备;系统工程;控制;仿真,
